MJD	log10(E)	ang_err	RA	Dec
   55697      5.1      0.2    150.4    -27.1
   55697      4.4      0.3    251.7    -43.5
   55697      5.1      0.2    218.4    -36.3
   55697      5.1      0.2     27.8    -62.7
   55697      4.9      0.3    241.9    -51.7
   55697      3.3      0.7     37.6     -7.9
   55697      4.4      0.5    208.3    -29.7
   55697      4.7      1.1     56.2    -46.5
   55697      4.1      0.8    273.9    -15.2
   55697      4.5      0.2    223.3    -65.4
   55697      3.2      0.5     98.0     -5.5
   55697      5.6      0.4     43.0    -54.0
   55697      5.4      0.9    142.8    -57.0
   55697      2.8      0.4    282.0     -5.1
   55697      3.0      0.5     10.4    -10.3
   55697      4.5      0.9     57.3    -32.1
   55697      3.7      0.8     29.6    -13.1
   55697      4.9      1.3    268.0    -59.2
   55697      4.6      0.3    213.9    -72.7
   55697      4.9      0.7     17.4    -39.3
   55697      3.4      0.3    306.1    -50.2
   55697      4.2      0.3    231.7    -24.0
   55697      3.9      0.7    154.7    -11.3
   55697      4.7      0.3     85.8    -66.5
   55697      4.5      1.0    110.0    -23.2
   55697      4.0      0.4     66.0    -30.5
   55697      4.6      0.2    289.5    -35.6
   55697      4.9      1.5    241.5    -38.1
   55697      5.1      2.6    134.6    -45.5
   55697      4.3      0.2    254.4    -26.2
   55697      5.5      5.8    223.3    -23.9
   55697      4.6      0.3     21.7    -71.0
   55697      5.4      0.3     78.2    -38.8
   55697      5.6      1.6    335.2    -26.1
   55697      5.3      0.3    336.7    -51.4
   55697      4.9      0.2    345.7    -64.2
   55697      4.3      0.3    175.9    -23.0
   55697      4.7      0.3    272.9    -46.1
   55697      4.1      0.5    323.1    -58.7
   55697      5.0      0.3    341.7    -42.1
   55697      2.9      0.3      7.8     -5.8
   55697      4.8      0.9    118.2    -58.7
   55697      4.1      1.1     77.4     -9.4
   55697      3.5      0.2    278.8    -15.0
   55697      4.3      0.3      4.4    -14.2
   55697      4.9      1.6    261.7    -55.7
   55697      4.7      0.3     24.5    -59.4
   55697      4.8      1.5    262.7    -31.2
   55697      5.2      3.0    143.8    -44.8
   55697      5.3      0.9    269.0    -56.7
   55697      4.2      0.5    251.6    -81.2
   55697      3.0      0.7    160.1     -6.2
   55697      4.6      0.2    358.4    -47.9
   55697      4.5      0.2     41.6    -73.4
